variable;libelle;codage
fiche_id;Identifiant unique de la fiche;texte (cle primaire, sert au dedoublonnage)
dossier;N. de dossier / identifiant du sujet;texte (cle sujet : relie les examens repetes)
dossier_pseudo;Identifiant pseudonymise ?;"1 = empreinte salee SHA-256 d un identifiant scanne ou saisi (prefixe P-) ; 0 = valeur saisie telle quelle ; vide = non renseigne"
num_ex;Rang de l'examen pour ce sujet;entier >= 1, ordonne par date et heure
date_ex;Date de l'examen;AAAA-MM-JJ
heure_ex;Heure de l'examen;HH:MM
examinateur;Examinateur;texte
poste;Poste de saisie;texte (renseigne dans les reglages, utile a la fusion)
date_acc;Date de l'accident;AAAA-MM-JJ
heure_acc;Heure de l'accident;HH:MM
delai_min;Delai accident vers examen;entier, minutes (calcule)
fiche_type;Type de consultation;"1 = consultation initiale (prise en charge en urgence) ; 2 = consultation de suivi ; 3 = consultation de sortie / CRH ; vide = non renseigne (a lire comme 1)"
sexe;Sexe;"1 = M ; 2 = F ; 3 = Autre"
age;Age a la date de l'examen;entier, annees (calcule)
ad_num;Accident de plongée n° (Mode d'entrée et prise en charge initiale);texte libre
date_arr;Date d'arrivée (Mode d'entrée et prise en charge initiale);AAAA-MM-JJ
heure_arr;Heure d'arrivée (Mode d'entrée et prise en charge initiale);HH:MM
medecin;Médecin (Mode d'entrée et prise en charge initiale);texte libre
infirmier;Infirmier(e) (Mode d'entrée et prise en charge initiale);texte libre
adresse_par;Adressé par (Mode d'entrée et prise en charge initiale);texte libre
heure_appel;Heure d'appel (Mode d'entrée et prise en charge initiale);HH:MM
evac_moyen;Moyen d'évacuation (Mode d'entrée et prise en charge initiale);"1 = Moyens propres ; 2 = VSAV / pompiers ; 3 = SMUR ; 4 = Hélicoptère ; 5 = Bateau / SNSM ; 6 = Autre"
heure_soins;Heure des 1ers soins sur place (Mode d'entrée et prise en charge initiale);HH:MM
soin_o2;Oxygène normobare sur place (Mode d'entrée et prise en charge initiale);"1 = OUI ; 0 = NON"
soin_o2_debit;Débit (L/min) (Mode d'entrée et prise en charge initiale);texte libre (L/min)
soin_o2_duree;Durée (min) (Mode d'entrée et prise en charge initiale);texte libre (min)
soin_aspirine;Aspirine (Mode d'entrée et prise en charge initiale);"1 = OUI ; 0 = NON"
soin_hydrat;Hydratation (mL) (Mode d'entrée et prise en charge initiale);texte libre (mL)
soin_autres;Autres soins sur place (Mode d'entrée et prise en charge initiale);texte libre
heure_pec;Heure de prise en charge au SMHEP (Mode d'entrée et prise en charge initiale);HH:MM
delai_symp_pec;Délai 1ers symptômes → prise en charge (min) (Mode d'entrée et prise en charge initiale);texte libre
pp_parente;Personne à prévenir — lien (Mode d'entrée et prise en charge initiale);texte libre
pp_nom;Personne à prévenir — nom et prénom (Mode d'entrée et prise en charge initiale);texte libre
pp_tel;Personne à prévenir — téléphone (Mode d'entrée et prise en charge initiale);texte libre
mt_nom;Médecin traitant — nom (Mode d'entrée et prise en charge initiale);texte libre
mt_tel;Médecin traitant — téléphone (Mode d'entrée et prise en charge initiale);texte libre
nationalite;Nationalité (Le plongeur);texte libre
profession;Profession (Le plongeur);texte libre
adresse;Adresse (Le plongeur);texte libre
tel;Téléphone (Le plongeur);texte libre
poids;Poids (kg) (Le plongeur);texte libre (kg)
taille;Taille (cm) (Le plongeur);texte libre (cm)
imc;IMC (Le plongeur);texte libre
atcd;Antécédents (Le plongeur);texte libre
toxiques;Habitudes toxiques (Le plongeur);texte libre
traitement;Traitement habituel (Le plongeur);texte libre
allergie;Allergies (Le plongeur);texte libre
contracept;Contraception orale (Le plongeur);"1 = OUI ; 0 = NON"
regles;Date des dernières règles (Le plongeur);AAAA-MM-JJ
rachianesth;Rachianesthésie récente (Le plongeur);"1 = OUI ; 0 = NON"
atcd_plongee;Antécédents en plongée (Le plongeur);texte libre
niveau;Niveau de plongée (Le plongeur);texte libre
niveau_date;Date d'obtention du niveau (Le plongeur);AAAA-MM-JJ
nb_plongees_6m;Nombre de plongées sur 6 mois (Le plongeur);texte libre
cadre_plongee;Cadre de la plongée (Le plongeur);"1 = Plongée club ; 2 = Plongée hors club ; 3 = Plongée professionnelle"
auto_encadre;Auto-encadré (Le plongeur);"1 = OUI ; 0 = NON"
club_nom;Club — nom (Le plongeur);texte libre
club_tel;Club — téléphone (Le plongeur);texte libre
club_resp;Club — responsable (Le plongeur);texte libre
pl_lieu;Lieu / site (Paramètres de la plongée accidentelle);texte libre
pl_type;Type de plongée (Paramètres de la plongée accidentelle);"1 = Loisir ; 2 = Instruction ; 3 = Professionnelle ; 4 = Militaire ; 5 = Apnée"
pl_gaz;Mélange respiré (Paramètres de la plongée accidentelle);"1 = Air ; 2 = Nitrox ; 3 = Trimix ; 4 = Héliox ; 5 = Oxygène ; 9 = Autre"
pl_gaz_autre;Préciser le mélange (Paramètres de la plongée accidentelle);texte libre
pl_proc;Procédure de décompression (Paramètres de la plongée accidentelle);"1 = Ordinateur ; 2 = MN 90 ; 3 = Tables autres ; 4 = Sans procédure"
pl_h_immersion;Heure d'immersion (Paramètres de la plongée accidentelle);HH:MM
pl_h_sortie;Heure de sortie de l'eau (Paramètres de la plongée accidentelle);HH:MM
pl_prof;Profondeur maximale (m) (Paramètres de la plongée accidentelle);texte libre (m)
pl_duree_fond;Durée au fond (min) (Paramètres de la plongée accidentelle);texte libre (min)
pl_duree_tot;Durée totale de la plongée (min) (Paramètres de la plongée accidentelle);texte libre
pl_paliers;Paliers (Paramètres de la plongée accidentelle);texte libre
pl_h_symp;Heure des 1ers symptômes (Paramètres de la plongée accidentelle);HH:MM
pl_delai_symp;Délai sortie de l’eau → 1ers symptômes (min) (Paramètres de la plongée accidentelle);texte libre
plp_faite;Plongée dans les 24 heures précédentes (Paramètres de la plongée précédente);"1 = OUI ; 0 = NON"
plp_date;Date (Paramètres de la plongée précédente);AAAA-MM-JJ
plp_heure;Heure de sortie de l’eau (Paramètres de la plongée précédente);HH:MM
plp_prof;Profondeur maximale (m) (Paramètres de la plongée précédente);texte libre (m)
